updateDate,code,code_name,roe,peTTM,pbMRQ,score
2019-12-09,sh.600606,绿地控股,0.008296232024238046,0.13861745887244695,0.03794725939073685,0.18486095028742183
2019-12-09,sh.600153,建发股份,0.06240487603658482,0.12379500147240839,0.0066496951856754955,0.1928495726946687
2019-12-09,sh.600808,马钢股份,0.10158528085572473,0.16194986981687637,0.004465841460999067,0.2680009921336001
2019-12-09,sz.000006,深振业A,0.048120279362189336,0.2108058308816546,0.0406865214954848,0.2996126317393287
2019-12-09,sz.000581,威孚高科,0.0827205097933233,0.18660668881337916,0.04116410067062041,0.3104912992773229
2019-12-09,sh.601838,成都银行,0.1615489381676459,0.13637376444896385,0.014004479603129963,0.3119271822197397
2019-12-09,sh.601668,中国建筑,0.15219834146480246,0.13798877729255016,0.023520259575125418,0.313707378332478
2019-12-09,sh.601577,长沙银行,0.14897657283472981,0.14802605175822597,0.01701412715201319,0.31401675174496896
2019-12-09,sh.600048,保利地产,0.09168883262449712,0.1748970863747089,0.06957571645777523,0.33616163545698124
2019-12-09,sh.600104,上汽集团,0.15236191912151703,0.19497620312459482,0.04194766992703568,0.3892857921731475
2019-12-09,sh.600036,招商银行,0.0977883234001395,0.2250769177142925,0.09136698192438213,0.41423222303881413
2019-12-09,sz.000501,鄂武商A,0.23237272947100432,0.1708287142789218,0.016439584672762124,0.41964102842268824
2019-12-09,sz.000069,华侨城A,0.3067294425557942,0.12043201476496988,0.015530935549298732,0.44269239287006285
2019-12-09,sh.600409,三友化工,0.12352246703554629,0.2948618646151778,0.03184199581015795,0.45022632746088204
2019-12-09,sz.000887,中鼎股份,0.09162126794020202,0.295095596321827,0.06692961832915983,0.4536464825911889
2019-12-09,sz.000031,大悦城,0.03847986572408034,0.3082384570867488,0.11047334274589109,0.45719166555672025
2019-12-09,sh.600567,山鹰纸业,0.293586333442385,0.13079805266734984,0.03922190378785393,0.4636062898975888
2019-12-09,sh.600674,川投能源,0.11088431503634283,0.26884588927825454,0.09053879024234233,0.4702689945569397
2019-12-09,sh.601633,长城汽车,0.0,0.4096596477015688,0.07122046953942834,0.48088011724099716
2019-12-09,sh.600383,金地集团,0.3021563802398191,0.14085702034759076,0.041199299073403334,0.48421269966081326
2019-12-09,sh.600901,江苏租赁,0.08801900345646718,0.31446355502254125,0.09285845947938326,0.4953410179583917
2019-12-09,sz.000999,华润三九,0.010864579036456712,0.31725493329466675,0.18079567111626885,0.5089151834473923
2019-12-09,sh.601238,广汽集团,0.14054165540588615,0.29101975453267054,0.07786279875157909,0.5094242086901357
2019-12-09,sz.002142,宁波银行,0.16644382174302666,0.23581823820697775,0.10741160120764169,0.5096736611576461
2019-12-09,sz.002601,龙蟒佰利,0.0867094931937472,0.2781781214538915,0.1565393429076804,0.5214269575553191
2019-12-09,sz.000830,鲁西化工,0.2794902066768133,0.15972944756267182,0.08399750817992903,0.5232171624194142
2019-12-09,sh.601997,贵阳银行,0.4455855368903179,0.11655737722889432,0.011196212563855975,0.5733391266830682
2019-12-09,sh.600056,中国医药,0.246187929391349,0.23343021410993336,0.09928141023347797,0.5788995537347603
2019-12-09,sz.002051,中工国际,0.26018448714848574,0.2634534253996267,0.06365987481479618,0.5872977873629086
2019-12-09,sh.600352,浙江龙盛,0.21118942292647566,0.23093612846807954,0.15119802224194476,0.5933235736365
2019-12-09,sh.600741,华域汽车,0.2956879507275649,0.23392837611558534,0.0848275321402039,0.6144438589833541
2019-12-09,sz.000338,潍柴动力,0.2109298322973416,0.23209492839909732,0.17212372630490663,0.6151484870013455
2019-12-09,sh.601019,山东出版,0.3069179124646174,0.23467637347700152,0.08859540614157461,0.6301896920831935
2019-12-09,sh.600176,中国巨石,0.12498666486494196,0.3405025519496464,0.16992077879731596,0.6354099956119044
2019-12-09,sz.002818,富森美,0.21030396995860773,0.28689788921787845,0.1441939236685995,0.6413957828450857
2019-12-09,sh.600426,华鲁恒升,0.2929462469595893,0.21599672371859235,0.13427543758429844,0.6432184082624801
2019-12-09,sz.002081,金螳螂,0.27952221100095315,0.25545930914090076,0.11623625942173786,0.6512177795635918
2019-12-09,sh.600535,天士力,0.0924889407279919,0.39393535239606947,0.18461395388714505,0.6710382470112064
2019-12-09,sz.002078,太阳纸业,0.37350824289148454,0.22081974200402968,0.08434634254758203,0.6786743274430962
2019-12-09,sh.600511,国药股份,0.25013512936859017,0.30037664487219573,0.13815257365427436,0.6886643478950603
2019-12-09,sz.002573,清新环境,0.21017239662603326,0.3911419552919372,0.09416695917172532,0.6954813110896958
2019-12-09,sh.600388,龙净环保,0.21157703085216872,0.32217136317766976,0.16609055050922067,0.6998389445390591
2019-12-09,sh.601225,陕西煤业,0.4569897443921313,0.17347708931005046,0.09081947399631443,0.7212863076984961
2019-12-09,sh.600985,淮北矿业,0.2844082044862953,0.4431175107972111,0.0556171582319188,0.7831428735154252
2019-12-09,sh.600282,南钢股份,0.6893322475570035,0.09366589686145049,0.01416200062442667,0.7971601450428806
2019-12-09,sh.600380,健康元,0.1870617185610856,0.49838608793327177,0.11743353421933497,0.8028813407136924
2019-12-09,sh.600688,上海石化,0.3951218297938924,0.32269153339666135,0.09608642267279434,0.813899785863348
2019-12-09,sh.600801,华新水泥,0.5171223134147905,0.15353708349245598,0.1642078427706412,0.8348672396778878
2019-12-09,sh.600900,长江电力,0.24300172112143162,0.38252564000105654,0.21598526114773425,0.8415126222702225
2019-12-09,sz.002085,万丰奥威,0.23166152226789785,0.4145365124679822,0.20442175474253999,0.85061978947842
